sentence,artwork,person
"A Song of Ice and Fire là bộ tiểu thuyết thể loại fantasy hùng tráng của nhà biên kịch, nhà văn Mỹ, George R. R. Martin.",A Song of Ice and Fire,George R. R. Martin
Bàn tay khỉ là một truyện ngắn kinh dị siêu nhiên của W.W. Jacobs sáng tác năm 1902 và chuyển thể thành bộ phim cùng tên năm 2011.,Bàn tay khỉ,W.W. Jacobs
"Phía Tây không có gì lạ hoặc Mặt trận miền Tây vẫn yên tĩnh là một cuốn tiểu thuyết viết về đề tài chống chiến tranh của Erich Maria Remarque, một cựu binh Đức từng tham gia Chiến tranh thế giới thứ nhất.",Phía Tây không có gì lạ,Erich Maria Remarque
"Bi kịch ba hồi là một tiểu thuyết trinh thám của nhà văn người Anh Agatha Christie được hãng Dodd, Mead and Company xuất bản lần đầu tại Hoa Kỳ năm 1934 dưới tựa đề Murder in Three Acts, tác phẩm sau đó được Collins Crime Club xuất bản tại Anh vào tháng 1 năm 1935 với tên gốc ""Bi kịch ba hồi"".",Bi kịch ba hồi,Agatha Christie
"Thần điêu hiệp lữ là một tiểu thuyết võ hiệp của Kim Dung, còn có tên khác là Thần Điêu đại hiệp.",Thần điêu hiệp lữ,Kim Dung
"Slayers là một truyện ngắn của Kanzaka Hajime, sau đó được chuyển thành manga, 3 anime, 2 OVA, 5 movies, và 4 games.",Slayers,Kanzaka Hajime
"Nỗi đau của chàng Werther là tiểu thuyết thể thư tín của văn hào Johann Wolfgang von Goethe, nảy sinh trong phong trào ""Bão táp và xung kích"" ở Thời kỳ Khai sáng trong lịch sử Đức nửa cuối thế kỷ thứ 18.",Nỗi đau của chàng Werther,Johann Wolfgang von Goethe
"Robinson Crusoe là tiểu thuyết của nhà văn Anh Daniel Defoe, tên tiếng Anh đầy đủ: ""The life and strange surprising adventures of Robinson Crusoe of York, Mariner"".",Robinson Crusoe,Daniel Defoe
"Sao chẳng về đây là một bài thơ hay của thi sĩ Nguyễn Bính, sáng tác năm 1941 Năm 1941 Nguyễn Bính vào Nam, khi đó những bài thơ của Nguyễn Bính đã làm độc giả Nam Bộ mến mộ, vì vậy có nhiều tờ báo thời đó mời Nguyễn Bính tham gia.",Sao chẳng về đây,Nguyễn Bính
"Cựu Ngũ Đại sử là một sách lịch sử theo thể kỷ truyện trong 24 sách lịch sử Trung Quốc do Tiết Cư Chính thời Bắc Tống viết và biên soạn, tên gốc ban đầu là """"Lương Đường Tấn Hán Chu thư"""", tên thường gọi là """"Ngũ Đại sử"""", Âu Dương Tu sau khi biên soạn bộ Tân Ngũ Đại sử đã lấy chữ ""Cựu"" đặt cho bộ sách này thành Cựu Ngũ Đại sử nhằm phân biệt với sách của ông.",Cựu Ngũ Đại sử,Tiết Cư Chính
"Bá tước Monte Cristo là một tiểu thuyết phiêu lưu của Alexandre Dumas ""cha"".",Bá tước Monte Cristo,Alexandre Dumas
"Noli Me Tángere là một cuốn tiểu thuyết được viết bởi José Rizal, một người anh hùng dân tộc của Philippines.",Noli Me Tángere,José Rizal
Thám tử Kindaichi là một trong những bộ truyện manga bí ẩn của Nhật Bản nói về những cuộc phiêu lưu của một cậu học sinh trung học tên là Kindaichi cháu trai của thám tử tư lừng danh Kindaichi Kosuke đi giải quyết những vụ án và truy lùng những tội phạm của hai tác giả Kanari Yozaburo hoặc Amagi Seimaru và người minh họa vẽ tranh cho tác phẩm là họa sĩ Satō Fumiya.,Thám tử Kindaichi,Kanari Yozaburo
Kozure Ōkami tên tiếng Anh là Lone Wolf and Cub là một tác phẩm Jidaigeki Manga Nhật Bản của tác giả Koike Kazuo và họa sĩ Kojima Gōseki.,Kozure Ōkami,Koike Kazuo
"The Sympathizer là tiểu thuyết đầu tay của nhà văn người Mỹ gốc Việt, Nguyễn Thanh Việt.",The Sympathizer,Nguyễn Thanh Việt
Mật mã Da Vinci là một tiểu thuyết của nhà văn người Mỹ Dan Brown được xuất bản năm 2003 bởi nhà xuất bản Doubleday Fiction.,Mật mã Da Vinci,Dan Brown
Don Quijote là tiểu thuyết của văn sĩ Miguel de Cervantes Saavedra.,Don Quijote,Miguel de Cervantes
Nam quốc sơn hà là một bài thơ thất ngôn tứ tuyệt viết bằng văn ngôn không rõ tác giả.,Nam quốc sơn hà,Không rõ
"Đi tìm thời gian đã mất là bộ tiểu thuyết gồm 7 tập của nhà văn Pháp Marcel Proust, được viết từ 1908-1909 đến 1922 và xuất bản từ 1913 đến 1927, trong đó 3 tập cuối chỉ được xuất bản sau khi tác giả qua đời.",Đi tìm thời gian đã mất,Marcel Proust
Những kẻ rỗng tuếch – là một bài thơ của nhà thơ Mỹ đoạt giải Nobel Văn học năm 1948 T. S. Eliot.,Những kẻ rỗng tuếch,T. S. Eliot
Trại súc vật là một tiểu thuyết trào phúng chỉ trích sự tha hóa của giới lãnh đạo chính trị của nhà văn Anh sinh tại Ấn Độ tên là George Orwell.,Trại súc vật,George Orwell
"Sư tử tháng 3, được phát hành tại Nhật Bản dưới tên gọi, là một bộ manga dài kỳ của tác giả Chica Umino, người được biết tới với bộ truyện ""Honey and Clover"".",Sư tử tháng 3,Chica Umino
"Vòng quanh thế giới trong 80 ngày là một tiểu thuyết phiêu lưu cổ điển của nhà văn Pháp Jules Verne, xuất bản lần đầu tiên năm 1873.",Vòng quanh thế giới trong 80 ngày,Jules Verne
Hai số phận là một cuốn tiểu thuyết được sáng tác vào năm 1979 bởi nhà văn người Anh Jeffrey Archer.,Hai số phận,Jeffrey Archer
El filibusterismo là tiểu thuyết thứ hai được viết bởi người anh hùng dân tộc Philippines José Rizal.,El filibusterismo,José Rizal
Hiệp sĩ lưu ban là một light novel Nhật Bản sáng tác bởi Misora Riku và minh họa bởi Won.,Hiệp sĩ lưu ban,Misora Riku
Bản thảo cương mục là một từ điển bách khoa của Trung Quốc về dược vật học được thầy thuốc Lý Thời Trân biên soạn vào thế kỷ 16 đầu thời nhà Minh.,Bản thảo cương mục,Lý Thời Trân
Ở lưng chừng thời gian là tiểu thuyết của nhà văn Canada David Bergen.,Ở lưng chừng thời gian,David Bergen
"Le feu, tên đầy đủ là Le Feu: journal d'une escouade là tiểu thuyết của nhà văn người Pháp Henri Barbusse.",Le feu,Henri Barbusse
"Dế Mèn phiêu lưu ký là tác phẩm văn xuôi đặc sắc và nổi tiếng nhất của nhà văn Tô Hoài viết về loài vật, dành cho lứa tuổi thiếu nhi.",Dế Mèn phiêu lưu ký,Tô Hoài
"Tim Mực là cuốn tiểu thuyết giả tưởng dành cho trẻ em của Cornelia Funke, cuốn sách đầu tiên của bộ ba Inkworld.",Tim mực,Cornelia Funke
"Ba người lính ngự lâm là một tiểu thuyết của nhà văn người Pháp Alexandre Dumas cha, là cuốn đầu tiên của bộ ba tập truyện gồm ""Les Trois Mousquetaires"", ""Vingt Ans après"", và ""Le Vicomte de Bragelonne"".",Ba người lính ngự lâm,Alexandre Dumas
"Phía bên kia nửa đêm là một tiểu thuyết của nhà văn Sidney Sheldon, được xuất bản lần đầu tiên vào năm 1973.",Phía bên kia nửa đêm,Sidney Sheldon
"Shijō Saikyō no Deshi Ken'ichi, tạm dịch là Kenichi, võ sinh mạnh nhất lịch sử, là loạt truyện tranh manga và loạt phim hoạt hình anime được viết bởi tác giả ""Matsuena Syun"", được phát hành lần đầu trên tạp chí Shōnen Sunday.",Shijō Saikyō no Deshi Ken'ichi,Matsuena Syun
Vân đài loại ngữ là một tác phẩm viết bằng chữ Hán vào năm 1773 của học giả người Việt Nam là Lê Quý Đôn.,Vân đài loại ngữ,Lê Quý Đôn
Người xa lạ là một tiểu thuyết của Albert Camus được viết vào năm 1942.,Người xa lạ,Albert Camus
Tuyệt Đại Song Kiêu hay còn được gọi là Giang Hồ Thập Ác là một tác phẩm võ hiệp được viết bởi nhà văn Cổ Long vào năm 1967.,Giang hồ thập ác,Cổ Long
Golden Legend là một bộ sưu tập tiểu sử các vị thánh Kitô giáo của Jacobus da Varagine được phổ biến rộng rãi vào cuối thời Trung cổ ở châu Âu.,Golden Legend,Jacobus da Varagine
Hành trình vào tâm Trái Đất là một tiểu thuyết khoa học viễn tưởng của Jules Verne xuất bản vào năm 1864.,Hành trình vào tâm Trái đất,Jules Verne
"Cung oán ngâm khúc hay gọi tắt là Cung oán là tác phẩm kiệt xuất của Nguyễn Gia Thiều, được viết bằng chữ Nôm, gồm 356 câu thơ làm theo thể song thất lục bát.",Cung oán ngâm khúc,Nguyễn Gia Thiều
Ly Tao là một trong những bài thơ nổi tiếng trong lịch sử Trung Quốc do Khuất Nguyên sáng tác.,Ly tao,Khuất Nguyên
"Gatsby vĩ đại hay Đại gia Gatsby, là một kiệt tác của nhà văn F. Scott Fitzgerald người Mỹ, được xuất bản lần đầu vào 10 tháng 4 năm 1925.",Gatsby vĩ đại,F. Scott Fitzgerald
", có nghĩa là ""Märchen Awakens Romance"", là một series manga được tạo ra bởi mangaka Nobuyuki Anzai.",MÄR,Nobuyuki Anzai
"Chuyện một con người chân chính là một cuốn tiểu thuyết khai thác đề tài số phận con người trong cuộc Chiến tranh Vệ quốc vĩ đại của nhà văn Boris Polevoy, ra mắt lần đầu năm 1946.",Chuyện một con người chân chính,Boris Polevoy
Cho tôi xin một vé đi tuổi thơ là truyện dài của nhà văn Nguyễn Nhật Ánh.,Cho tôi xin một vé đi tuổi thơ,Nguyễn Nhật Ánh
"Nhện Tuyết là cuốn đầu tiên trong bộ ba tác phẩm truyện cho thiếu nhi của nữ nhà văn Anh Jenny Nimmo<br> Nhên Tuyết là câu chuyện ở một miền quê huyền thoại xứ Wales, Anh Quốc, kể về cậu bé phù thủy Gwyn trong hành trình đạt được ""những điều trái tim mình mong ước"".",Nhện tuyết,Jenny Nimmo
Trên sa mạc và trong rừng thẳm là một tiểu thuyết dành cho thiếu nhi của nhà văn Ba Lan Henryk Sienkiewicz.,Trên sa mạc và trong rừng thẳm,Henryk Sienkiewicz
"Xứ tuyết là tiểu thuyết của văn hào Nhật Bản Kawabata Yasunari, được khởi bút từ 1935 và hoàn thành năm 1947.",Xứ tuyết,Kawabata Yasunari
"Số đỏ là một tiểu thuyết văn học của nhà văn Vũ Trọng Phụng, đăng ở Hà Nội báo từ số 40 ngày 7 tháng 10 năm 1936 và được in thành sách lần đầu vào năm 1938.",Số đỏ,Vũ Trọng Phụng
"xkcd, đôi khi được viết là XKCD, là một truyện tranh trực tuyến do Randall Munroe vẽ.",Xkcd,Randall Munroe
Anastasia tự lập là tiêu thuyết dành cho lứa tuổi thanh thiếu niên của tác giả Lois Lowry.,Anastasia tự lập,Lois Lowry
Phê phán cương lĩnh Gotha là văn kiện của nhà tư tưởng người Đức Karl Marx chỉ trích dự thảo cương lĩnh Gotha.,Phê phán Cương lĩnh Gotha,Karl Marx
Án mạng trên sông Nile là một tiểu thuyết hình sự của nhà văn Agatha Christie được hãng Collins Crime Club xuất bản lần đầu tại Anh ngày 1 tháng 11 năm 1937.,Án mạng trên sông Nile,Agatha Christie
"""Bộ quần áo mới của hoàng đế"" là một truyện ngắn của nhà văn Hans Christian Andersen về việc hai người thợ dệt hứa với vị hoàng đế là sẽ dệt cho ông một bộ y phục mà khi ông mặc vào thì những kẻ ngu ngốc, bất tài hoặc bất xứng với địa vị của họ sẽ không thể nhìn thấy.",Bộ quần áo mới của hoàng đế,Hans Christian Andersen
